#{"t_start": 1681696102.28377, "env_id": "None"}
r,l,t,food_eaten_total,penalty
-0.110319,106,0.239459,1,22
6.579599,854,1.056293,7,6
2.735927,380,1.522106,4,25
3.967091,600,2.19417,4,0
1.971285,400,4.508202,2,0
0.968453,300,4.832396,1,0
3.715024,480,5.329005,5,25
3.780787,600,5.911446,4,0
0.95797,300,6.23501,1,0
3.946042,600,8.336919,4,0
0.957965,300,8.66487,1,0
4.962634,700,9.386565,5,0
3.900315,600,11.601196,4,0
0.046988,138,11.77525,1,19
2.968863,500,12.365255,3,0
2.88065,406,12.840498,4,22
3.967738,600,13.505666,4,0
2.978035,500,15.670679,3,0
3.888913,600,16.354946,4,0
3.912315,600,17.024761,4,0
2.899487,500,17.592608,3,0
3.949045,600,20.3506,4,0
0.960573,300,20.713734,1,0
2.942077,500,21.300786,3,0
4.846534,700,22.058013,5,0
3.870235,600,24.719877,4,0
4.896446,700,25.495156,5,0
4.852377,700,26.265103,5,0
3.934799,600,28.570894,4,0
3.943902,600,29.287055,4,0
4.922029,700,30.132452,5,0
2.958802,500,32.431107,3,0
0.96469,300,32.795256,1,0
5.849806,800,33.634027,6,0
2.875041,500,34.25292,3,0
4.911383,700,36.933957,5,0
5.921974,800,37.794384,6,0
-0.849868,50,37.852344,0,17
5.43543,622,38.527221,7,31
0.242287,170,40.921854,1,15
2.342863,303,41.289381,4,33
4.946905,700,42.071157,5,0
2.90988,500,42.664986,3,0
0.988245,300,43.032393,1,0
2.965262,420,45.592716,4,20
2.949589,500,46.195293,3,0
0.949867,300,46.561841,1,0
3.919317,518,47.118794,5,21
1.967475,400,47.592993,2,0
4.938641,700,50.278717,5,0
0.974233,300,50.640493,1,0
3.945043,600,51.322898,4,0
0.962747,300,51.695225,1,0
0.954703,300,53.6675,1,0
1.959704,400,54.175269,2,0
1.444997,230,54.4708,3,31
2.692531,367,54.897507,4,26
1.972428,400,55.381076,2,0
0.948749,300,55.743794,1,0
4.795595,700,58.207716,5,0
4.927446,700,59.004302,5,0
6.420077,852,59.942329,7,6
0.985445,300,62.060861,1,0
1.910849,400,62.534505,2,0
2.976315,500,63.132995,3,0
0.957777,300,63.496631,1,0
3.474209,430,63.974399,5,30
4.578143,650,66.609012,5,6
2.976055,500,67.180037,3,0
2.953766,500,67.749088,3,0
3.910296,600,68.423879,4,0
3.960858,600,71.117377,4,0
4.858215,700,71.875168,5,0
2.844151,316,72.238243,5,43
5.868908,800,75.005938,6,0
2.981254,500,75.585945,3,0
3.778681,491,76.151625,5,24
1.987147,400,76.62891,2,0
4.866173,700,79.026685,5,0
1.965714,400,79.539031,2,0
0.383707,193,79.782133,1,12
3.956869,600,80.458251,4,0
0.833975,278,80.806355,1,3
0.984227,300,83.015906,1,0
1.948187,400,83.482365,2,0
2.830018,500,84.06351,3,0
4.938364,700,84.883658,5,0
6.876597,900,87.468026,7,0
2.977501,500,88.060589,3,0
4.966865,700,88.849464,5,0
1.954153,400,91.164413,2,0
0.447637,127,91.31825,2,31
0.639694,158,91.499518,2,27
4.930977,700,92.289501,5,0
0.198082,162,92.490432,1,16
2.887527,500,93.074877,3,0
2.957512,500,95.538568,3,0
2.85376,500,96.136858,3,0
4.233151,494,96.670405,6,35
1.975511,400,97.145422,2,0
0.966615,300,97.505652,1,0
0.990139,300,99.751108,1,0
0.977633,300,100.191283,1,0
2.792149,500,100.798817,3,0
2.97376,500,101.39886,3,0
0.978062,300,101.766761,1,0
0.974112,300,102.138093,1,0
5.927213,800,104.609129,6,0
5.867878,800,105.492828,6,0
0.929611,298,105.857301,1,1
1.94785,400,107.874498,2,0
2.917199,500,108.446385,3,0
0.821182,279,108.784611,1,3
3.946181,600,109.469139,4,0
0.989261,300,109.857344,1,0
0.991775,300,111.921902,1,0
1.97417,400,112.408145,2,0
3.951036,600,113.090262,4,0
0.994028,300,113.456398,1,0
3.437835,423,113.930547,5,31
2.935525,500,116.649751,3,0
2.975608,500,117.236283,3,0
5.008695,634,117.917691,6,19
1.887129,400,118.396267,2,0
3.92116,600,121.025403,4,0
4.413655,529,121.622445,6,31
4.936799,700,122.387464,5,0
1.747648,371,122.821296,2,4
2.866978,500,125.104751,3,0
2.96663,500,125.675728,3,0
3.969243,600,126.367879,4,0
5.928296,800,129.018027,6,0
1.979102,400,129.488304,2,0
4.919982,700,130.29693,5,0
-0.018077,200,130.542752,0,0
3.121849,450,132.76179,4,17
0.989029,300,133.126805,1,0
0.96537,300,133.476606,1,0
4.746127,694,134.230928,5,1
1.899667,400,134.680509,2,0
3.940522,600,137.149405,4,0
6.928084,900,138.11395,7,0
1.845445,301,138.462108,3,23
1.907914,400,138.931737,2,0
2.993457,500,141.62603,3,0
2.883668,500,142.212042,3,0
1.727859,278,142.531199,3,25
3.175323,472,143.066571,4,15
0.982147,300,143.441453,1,0
4.904707,700,146.371183,5,0
3.960964,600,147.041472,4,0
6.947406,900,147.97532,7,0
3.736068,478,150.117961,5,25
1.823558,388,150.611381,2,2
3.933433,600,151.300116,4,0
7.584456,881,153.853609,9,25
0.97115,300,154.22888,1,0
2.975171,500,154.808161,3,0
0.977384,300,155.208901,1,0
0.838778,199,155.450955,2,23
2.952679,500,157.729952,3,0
1.984865,400,158.199119,2,0
3.879516,600,158.867277,4,0
2.929775,500,159.452789,3,0
2.672191,369,159.913138,4,26
1.975708,400,162.638644,2,0
6.917387,900,163.633246,7,0
0.988147,300,164.076354,1,0
1.977723,400,164.604882,2,0
0.978235,300,167.189855,1,0
0.988096,300,167.557715,1,0
2.928109,500,168.13359,3,0
4.96738,700,168.933909,5,0
2.972169,500,171.396297,3,0
3.940391,600,172.094737,4,0
3.807587,591,172.769684,4,2
0.984518,300,173.137991,1,0
1.938778,400,173.679326,2,0
4.935963,700,176.88906,5,0
2.949723,500,177.487114,3,0
0.986297,300,177.852905,1,0
0.337906,184,178.069284,1,13
1.645232,258,178.374085,3,27
1.865592,400,180.888025,2,0
4.689766,413,181.331945,8,66
1.960267,400,181.858608,2,0
3.912533,600,182.528718,4,0
2.9816,500,184.763319,3,0
4.907991,700,185.57883,5,0
4.972667,700,186.371595,5,0
3.945601,600,189.041304,4,0
4.086476,539,189.648671,5,18
0.98309,300,190.019583,1,0
0.499121,134,190.182528,2,30
4.64504,479,190.734883,7,47
4.893875,700,193.21816,5,0
4.935724,700,193.996791,5,0
3.089972,444,194.513557,4,18
2.840922,485,195.051942,3,2
2.543242,344,197.457255,4,29
-0.007903,200,197.708672,0,0
0.953063,300,198.07341,1,0
3.948355,600,198.769454,4,0
2.97105,500,199.347562,3,0
-0.350939,62,199.428354,1,27
1.977203,400,202.383956,2,0
1.826441,399,202.85118,2,1
0.991425,300,203.222855,1,0
0.953299,300,203.586053,1,0
3.882888,600,204.27429,4,0
1.947592,400,206.881551,2,0
2.542379,343,207.287589,4,29
1.913562,400,207.751357,2,0
3.724202,403,208.21054,6,45
2.973749,500,208.791407,3,0
0.987917,300,209.16761,1,0
1.984812,400,211.655873,2,0
0.980446,300,212.129627,1,0
0.949322,300,212.501569,1,0
1.967249,400,213.092532,2,0
0.956294,300,213.525859,1,0
2.993051,500,216.224958,3,0
0.988306,300,216.591971,1,0
1.943417,400,217.071183,2,0
1.336775,210,217.318864,3,33
6.954791,900,218.290393,7,0
3.941644,600,220.79053,4,0
3.953456,600,221.493795,4,0
-0.299476,72,221.584065,1,26
2.932021,500,222.158712,3,0
0.646616,159,222.367479,2,27
0.942341,300,224.584644,1,0
4.947604,700,225.38016,5,0
4.964541,700,226.246624,5,0
5.937873,800,228.913681,6,0
4.903041,700,229.701945,5,0
4.958705,700,230.522744,5,0
5.862367,800,233.206312,6,0
3.975386,600,233.893338,4,0
2.963009,500,234.491192,3,0
1.980121,400,234.979224,2,0
1.921061,400,237.386048,2,0
0.885672,300,237.773616,1,0
0.981182,300,238.157638,1,0
5.945485,800,239.072423,6,0
0.965196,300,239.456941,1,0
1.146935,170,239.667437,3,37
2.920263,500,242.254587,3,0
1.969131,400,242.908766,2,0
1.980635,400,243.697683,2,0
0.984518,300,244.152876,1,0
2.954899,500,247.527298,3,0
2.985865,500,248.231578,3,0
1.947827,400,248.801627,2,0
3.812756,588,249.582636,4,2
2.600913,354,250.064419,4,28
2.95268,500,253.530903,3,0
2.439075,429,254.186527,3,8
0.935329,300,254.583618,1,0
0.983411,300,255.085504,1,0
4.948224,700,258.546762,5,0
0.985842,300,259.019663,1,0
3.963733,600,259.884282,4,0
5.591977,780,260.965839,6,3
1.978263,400,267.165865,2,0
0.971721,300,267.838574,1,0
